Name	chi2Pvalue	empPvalue
KEGG_FOLATE_BIOSYNTHESIS	4.77380071E-4	8E-3
BIOCARTA_LAIR_PATHWAY	2.37346676E-3	5.1E-4
KEGG_ONE_CARBON_POOL_BY_FOLATE	3.72122548E-3	1.264E-2
REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	5.71085534E-3	2.706E-2
KEGG_RIBOFLAVIN_METABOLISM	7.19356362E-3	1.167E-2
BIOCARTA_GRANULOCYTES_PATHWAY	7.27649026E-3	9.5E-4
REACTOME_RAP1_SIGNALLING	7.69459732E-3	2.07E-2
REACTOME_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT	7.86563114E-3	3.243E-2
REACTOME_SMAD2_SMAD3_SMAD4_HETEROTRIMER_REGULATES_TRANSCRIPTION	1.00663973E-2	2.682E-2
KEGG_HEDGEHOG_SIGNALING_PATHWAY	1.04643335E-2	3.526E-2
BIOCARTA_MEF2D_PATHWAY	1.23022721E-2	3.14E-3
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	1.34769106E-2	4.15E-3
BIOCARTA_UCALPAIN_PATHWAY	1.41594935E-2	2.8E-3
REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_ACTIVITY_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS	1.43407068E-2	3.74E-3
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	1.48792234E-2	2.642E-2
REACTOME_TRANSCRIPTIONAL_ACTIVITY_OF_SMAD2_SMAD3_SMAD4_HETEROTRIMER	1.52532269E-2	3.821E-2
REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION	1.53411688E-2	6.44E-3
REACTOME_SYNTHESIS_OF_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI	1.56848453E-2	2.288E-2
BIOCARTA_PITX2_PATHWAY	1.79777832E-2	2.539E-2
BIOCARTA_GSK3_PATHWAY	1.85127952E-2	3.047E-2
BIOCARTA_P35ALZHEIMERS_PATHWAY	1.87688912E-2	3.37E-3
REACTOME_LIPOPROTEIN_METABOLISM	1.90750146E-2	3.617E-2
REACTOME_NRAGE_SIGNALS_DEATH_THROUGH_JNK	1.94845121E-2	4.654E-2
REACTOME_RNA_POL_III_CHAIN_ELONGATION	1.98812608E-2	2.193E-2
REACTOME_DEFENSINS	2.06856515E-2	6.94E-3
BIOCARTA_CELLCYCLE_PATHWAY	2.08450777E-2	3.459E-2
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	2.12052858E-2	1.011E-2
BIOCARTA_LEPTIN_PATHWAY	2.53673431E-2	2.305E-2
BIOCARTA_MCALPAIN_PATHWAY	2.61526422E-2	4.91E-3
REACTOME_RNA_POL_III_TRANSCRIPTION_TERMINATION	2.62978541E-2	2.91E-2
BIOCARTA_PS1_PATHWAY	2.6894446E-2	2.875E-2
REACTOME_SMOOTH_MUSCLE_CONTRACTION	2.70131953E-2	4.17E-2
REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE	2.74517066E-2	3.892E-2
REACTOME_POST_TRANSLATIONAL_MODIFICATION_SYNTHESIS_OF_GPI_ANCHORED_PROTEINS	2.84090759E-2	3.932E-2
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS_	2.87060573E-2	5.994E-2
REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX	2.9339475E-2	6.136E-2
REACTOME_SIGNALING_BY_RHO_GTPASES	2.94761331E-2	7.898E-2
REACTOME_METABOLISM_OF_PROTEINS	3.08470477E-2	7.235E-2
REACTOME_PLATELET_ADHESION_TO_EXPOSED_COLLAGEN	3.18340218E-2	3.933E-2
REACTOME_N_GLYCAN_ANTENNAE_ELONGATION	3.1999233E-2	4.116E-2
REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT	3.31848308E-2	6.13E-2
BIOCARTA_AKAP13_PATHWAY	3.48312414E-2	2.949E-2
BIOCARTA_ALK_PATHWAY	3.53226926E-2	5.479E-2
BIOCARTA_WNT_PATHWAY	3.53438112E-2	4.389E-2
BIOCARTA_CELL2CELL_PATHWAY	3.67010201E-2	4.73E-2
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	3.75085554E-2	5.208E-2
REACTOME_BETA_DEFENSINS	3.78996986E-2	7.78E-3
REACTOME_ACYL_CHAIN_REMODELLING_OF_PC	3.83041364E-2	5.66E-3
REACTOME_RNA_POL_III_TRANSCRIPTION_INITIATION_FROM_TYPE_3_PROMOTER	3.96064963E-2	3.814E-2
REACTOME_TETRAHYDROBIOPTERIN_BH4_SYNTHESIS_RECYCLING_SALVAGE_AND_REGULATION	4.21716154E-2	4.944E-2
