gene_id	symbol	SNPs
100287102	DDX11L1	0
653635	WASH7P	0
79501	OR4F5	0
729737	LOC729737	0
729759	OR4F29	0
100288069	LOC100288069	0
79854	LINC00115	0
643837	LOC643837	0
84069	PLEKHN1	0
84808	C1orf170	0
57801	HES4	0
9636	ISG15	0
375790	AGRN	0
401934	RNF223	0
54991	C1orf159	0
254099	LOC254099	0
406984	MIR200B	0
406983	MIR200A	0
554210	MIR429	0
254173	TTLL10	0
8784	TNFRSF18	0
7293	TNFRSF4	0
51150	SDF4	0
126792	B3GALT6	0
388581	FAM132A	0
118424	UBE2J2	0
6339	SCNN1D	0
116983	ACAP3	0
126789	PUSL1	0
54973	CPSF3L	0
80772	GLTPD1	0
83756	TAS1R3	0
1855	DVL1	0
54587	MXRA8	0
54998	AURKAIP1	0
81669	CCNL2	0
148413	LOC148413	0
55052	MRPL20	0
441869	ANKRD65	0
643965	TMEM88B	0
64856	VWA1	0
219293	ATAD3C	0
83858	ATAD3B	0
55210	ATAD3A	0
339453	TMEM240	0
29101	SSU72	0
643988	C1orf233	0
142678	MIB2	0
8510	MMP23B	0
984	CDK11B	0
728661	SLC35E2B	0
8511	MMP23A	0
728642	CDK11A	0
9906	SLC35E2	0
65220	NADK	0
2782	GNB1	0
163688	CALML6	0
339456	TMEM52	0
85452	KIAA1751	0
2563	GABRD	0
5590	PRKCZ	0
199990	C1orf86	0
11079	RER1	0
5192	PEX10	0
9651	PLCH2	0
55229	PANK4	0
388585	HES5	0
115110	LOC115110	0
100133445	LOC100133445	0
8764	TNFRSF14	0
127281	FAM213B	0
79258	MMEL1	0
100287898	TTC34	0
100422968	MIR4251	0
693135	MIR551A	0
728716	LOC728716	0
100616421	MIR4689	0
26038	CHD5	0
6146	RPL22	0
388591	RNF207	0
54626	HES2	0
83715	ESPN	0
100422975	MIR4252	0
8718	TNFRSF25	0
57449	PLEKHG5	0
79707	NOL9	0
80835	TAS1R1	0
3104	ZBTB48	0
9903	KLHL21	0
2023	ENO1	0
100505975	ENO1-AS1	0
765	CA6	0
155184	SLC2A7	0
6518	SLC2A5	0
80045	GPR157	0
407040	MIR34A	0
84275	SLC25A33	0
199953	TMEM201	0
5293	PIK3CD	0
644997	C1orf200	0
116362	RBP7	0
23435	TARDBP	0
10747	MASP2	0
6723	SRM	0
26232	FBXO2	0
93611	FBXO44	0
26270	FBXO6	0
10459	MAD2L2	0
374946	DRAXIN	0
4879	NPPB	0
90231	KIAA2013	0
677882	SNORA59B	0
9249	DHRS3	0
649330	LOC649330	0
343069	HNRNPCL1	0
65122	PRAMEF2	0
400735	PRAMEF4	0
343071	PRAMEF10	0
391002	PRAMEF8	0
343068	PRAMEF5	0
653606	PRAMEF22	0
440563	LOC440563	0
401940	PRAMEF3	0
343070	PRAMEF9	0
400736	PRAMEF13	0
645414	PRAMEF19	0
654348	PRAMEF16	0
645425	PRAMEF20	0
391004	PRAMEF17	0
126755	LRRC38	0
284723	SLC25A34	0
388595	TMEM82	0
54751	FBLIM1	0
440567	UQCRHL	0
729614	FLJ37453	0
149563	C1orf64	0
27129	HSPB7	0
1187	CLCNKA	0
1188	CLCNKB	0
348487	FAM131C	0
1969	EPHA2	0
55672	NBPF1	0
84809	CROCCP2	0
11209	MST1P2	0
284729	ESPNP	0
9696	CROCC	0
11223	MST1L	0
4237	MFAP2	0
23400	ATP13A2	0
5320	PLA2G2A	0
65018	PINK1	0
1650	DDOST	0
1889	ECE1	0
100506801	LOC100506801	0
401944	LDLRAD2	0
10136	CELA3A	0
29092	LINC00339	0
100422914	MIR4253	0
100506963	LOC100506963	0
57095	PITHD1	0
11313	LYPLA2	0
2582	GALE	0
3155	HMGCL	0
2517	FUCA1	0
1269	CNR2	0
100616492	MIR378F	0
55629	PNRC2	0
10772	SRSF10	0
10250	SRRM1	0
25949	SYF2	0
57035	C1orf63	0
6007	RHD	0
23585	TMEM50A	0
6006	RHCE	0
55219	TMEM57	0
26119	LDLRAP1	0
100500808	MIR3917	0
149420	PDIK1L	0
1043	CD52	0
55057	AIM1L	0
257101	ZNF683	0
79727	LIN28A	0
79947	DHDDS	0
3151	HMGN2	0
6195	RPS6KA1	0
100302190	MIR1976	0
8289	ARID1A	0
55650	PIGV	0
84243	ZDHHC18	0
2810	SFN	0
388610	TRNP1	0
115572	FAM46B	0
6548	SLC9A1	0
23038	WDTC1	0
84065	TMEM222	0
644961	LOC644961	0
84958	SYTL1	0
9064	MAP3K6	0
8547	FCN3	0
388611	CD164L2	0
2827	GPR3	0
10163	WASF2	0
199870	FAM76A	0
23673	STX12	0
5511	PPP1R8	0
677774	SCARNA1	0
9473	THEMIS2	0
6118	RPA2	0
27293	SMPDL3B	0
55113	XKR8	0
5724	PTAFR	0
22826	DNAJC8	0
93974	ATPIF1	0
83667	SESN2	0
54797	MED18	0
65979	PHACTR4	0
1104	RCC1	0
54952	TRNAU1AP	0
85028	SNHG12	0
692212	SNORD99	0
677838	SNORA61	0
677825	SNORA44	0
692073	SNORA16A	0
115273	RAB42	0
