Name	chi2Pvalue	empPvalue
REACTOME_REVERSIBLE_HYDRATION_OF_CARBON_DIOXIDE	6.86164551E-3	5.34E-3
REACTOME_ABCA_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	9.64973441E-3	1.19E-2
REACTOME_AMYLOIDS	1.02080411E-2	9.79E-3
BIOCARTA_IL3_PATHWAY	1.24256109E-2	1.022E-2
REACTOME_HDL_MEDIATED_LIPID_TRANSPORT	1.43982673E-2	1.772E-2
REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION	1.52404751E-2	1.29E-2
BIOCARTA_HER2_PATHWAY	1.77691398E-2	1.82E-2
KEGG_ARACHIDONIC_ACID_METABOLISM	1.85182656E-2	2.269E-2
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	1.86020782E-2	1.471E-2
REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION	2.11007507E-2	1.979E-2
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	2.30525119E-2	2.482E-2
BIOCARTA_IL6_PATHWAY	2.36191072E-2	2.653E-2
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	2.42156106E-2	2.186E-2
REACTOME_IL_6_SIGNALING	2.44394825E-2	3.017E-2
REACTOME_IL_2_SIGNALING	2.72793083E-2	2.314E-2
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	2.9339221E-2	3.486E-2
BIOCARTA_SPPA_PATHWAY	2.95481902E-2	3.142E-2
REACTOME_ROLE_OF_SECOND_MESSENGERS_IN_NETRIN1_SIGNALING	3.13847284E-2	2.934E-2
REACTOME_IL_RECEPTOR_SHC_SIGNALING	3.23025421E-2	2.838E-2
BIOCARTA_MITOCHONDRIA_PATHWAY	3.25962229E-2	2.997E-2
REACTOME_P2Y_RECEPTORS	3.36124621E-2	2.917E-2
REACTOME_CONVERSION_FROM_APC_C_CDC20_TO_APC_C_CDH1_IN_LATE_ANAPHASE	3.58569814E-2	3.162E-2
BIOCARTA_IL5_PATHWAY	3.58676343E-2	4.064E-2
BIOCARTA_IL17_PATHWAY	3.71629042E-2	4.218E-2
REACTOME_SHC_MEDIATED_SIGNALLING	3.73910452E-2	3.411E-2
REACTOME_HIGHLY_CALCIUM_PERMEABLE_POSTSYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS	4.04366076E-2	4.042E-2
REACTOME_TRAF6_MEDIATED_IRF7_ACTIVATION	4.04662628E-2	3.658E-2
REACTOME_CRMPS_IN_SEMA3A_SIGNALING	4.08288364E-2	4.555E-2
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	4.35404567E-2	3.768E-2
REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION	4.35980018E-2	4.033E-2
REACTOME_HEMOSTASIS	4.48554422E-2	3.892E-2
REACTOME_SHC1_EVENTS_IN_ERBB4_SIGNALING	4.50534572E-2	4.182E-2
REACTOME_SYNTHESIS_OF_PC	4.52316037E-2	4.677E-2
REACTOME_SOS_MEDIATED_SIGNALLING	4.56368607E-2	4.202E-2
KEGG_BETA_ALANINE_METABOLISM	4.58061596E-2	4.88E-2
REACTOME_ACTIVATION_OF_CHAPERONE_GENES_BY_XBP1S	4.65695588E-2	4.165E-2
REACTOME_SYNTHESIS_OF_PIPS_AT_THE_PLASMA_MEMBRANE	4.82159885E-2	4.418E-2
REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE	4.84086234E-2	4.065E-2
KEGG_RETINOL_METABOLISM	4.86529589E-2	3.953E-2
REACTOME_BETA_DEFENSINS	5.02497393E-2	4.718E-2
REACTOME_NETRIN1_SIGNALING	5.14216428E-2	4.681E-2
REACTOME_PRESYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS	5.24577283E-2	5.41E-2
REACTOME_SEMA3A_PLEXIN_REPULSION_SIGNALING_BY_INHIBITING_INTEGRIN_ADHESION	5.25511553E-2	6.49E-2
REACTOME_DEFENSINS	5.30586364E-2	4.985E-2
REACTOME_SHC_RELATED_EVENTS	5.31076262E-2	4.865E-2
BIOCARTA_INTEGRIN_PATHWAY	5.38496044E-2	4.588E-2
REACTOME_HYALURONAN_UPTAKE_AND_DEGRADATION	5.43664179E-2	6.394E-2
BIOCARTA_DNAFRAGMENT_PATHWAY	5.47360437E-2	4.995E-2
REACTOME_NOREPINEPHRINE_NEUROTRANSMITTER_RELEASE_CYCLE	5.65065609E-2	5.231E-2
BIOCARTA_ERK_PATHWAY	5.70858981E-2	5.632E-2
REACTOME_SYNTHESIS_AND_INTERCONVERSION_OF_NUCLEOTIDE_DI_AND_TRIPHOSPHATES	5.81976004E-2	5.375E-2
KEGG_LIMONENE_AND_PINENE_DEGRADATION	5.85804401E-2	7.086E-2
REACTOME_SHC1_EVENTS_IN_EGFR_SIGNALING	6.1425219E-2	5.694E-2
REACTOME_AMINO_ACID_AND_OLIGOPEPTIDE_SLC_TRANSPORTERS	6.50789356E-2	6.648E-2
REACTOME_NA_CL_DEPENDENT_NEUROTRANSMITTER_TRANSPORTERS	6.60127396E-2	5.951E-2
BIOCARTA_STEM_PATHWAY	6.67299891E-2	8.052E-2
REACTOME_DOPAMINE_NEUROTRANSMITTER_RELEASE_CYCLE	6.70075346E-2	6.394E-2
KEGG_FOLATE_BIOSYNTHESIS	6.74097234E-2	6.261E-2
BIOCARTA_CFTR_PATHWAY	6.79182338E-2	6.158E-2
REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR	6.87288827E-2	5.795E-2
REACTOME_ORGANIC_CATION_ANION_ZWITTERION_TRANSPORT	6.90254119E-2	6.527E-2
BIOCARTA_PYK2_PATHWAY	6.96917185E-2	5.973E-2
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	6.9866258E-2	6.387E-2
REACTOME_PHOSPHORYLATION_OF_CD3_AND_TCR_ZETA_CHAINS	6.99723743E-2	6.76E-2
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	7.12313037E-2	6.217E-2
KEGG_SULFUR_METABOLISM	7.13434642E-2	6.466E-2
BIOCARTA_EIF_PATHWAY	7.19793351E-2	7.767E-2
REACTOME_CYTOSOLIC_SULFONATION_OF_SMALL_MOLECULES	7.28152052E-2	6.646E-2
KEGG_PRION_DISEASES	7.388052E-2	7.906E-2
KEGG_NITROGEN_METABOLISM	7.38891237E-2	7.076E-2
BIOCARTA_DEATH_PATHWAY	7.48505524E-2	6.86E-2
REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS	7.51535921E-2	7.788E-2
BIOCARTA_CHEMICAL_PATHWAY	7.51859923E-2	7.23E-2
REACTOME_PURINE_SALVAGE	7.51991375E-2	8.377E-2
REACTOME_GAMMA_CARBOXYLATION_TRANSPORT_AND_AMINO_TERMINAL_CLEAVAGE_OF_PROTEINS	7.5667808E-2	7.399E-2
KEGG_ENDOMETRIAL_CANCER	7.75226923E-2	7.111E-2
REACTOME_ADAPTIVE_IMMUNE_SYSTEM	7.94160733E-2	7.209E-2
REACTOME_TRANSPORT_OF_GLUCOSE_AND_OTHER_SUGARS_BILE_SALTS_AND_ORGANIC_ACIDS_METAL_IONS_AND_AMINE_COMPOUNDS	8.22831577E-2	8.002E-2
BIOCARTA_PTEN_PATHWAY	8.2855824E-2	7.629E-2
KEGG_GLUTATHIONE_METABOLISM	8.38869709E-2	8.752E-2
REACTOME_LIPID_DIGESTION_MOBILIZATION_AND_TRANSPORT	8.53710667E-2	8.051E-2
REACTOME_APOPTOSIS_INDUCED_DNA_FRAGMENTATION	8.917381E-2	8.397E-2
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	8.92357929E-2	7.898E-2
REACTOME_TIE2_SIGNALING	8.95914174E-2	8.427E-2
BIOCARTA_MONOCYTE_PATHWAY	8.98866197E-2	8.391E-2
REACTOME_GRB2_EVENTS_IN_ERBB2_SIGNALING	9.00542723E-2	8.763E-2
REACTOME_CELL_EXTRACELLULAR_MATRIX_INTERACTIONS	9.01238352E-2	8.869E-2
BIOCARTA_TRKA_PATHWAY	9.13226478E-2	9.091E-2
REACTOME_XENOBIOTICS	9.21031793E-2	9.061E-2
REACTOME_PI_METABOLISM	9.44814055E-2	8.81E-2
BIOCARTA_LAIR_PATHWAY	9.4972489E-2	1.0593E-1
KEGG_TRYPTOPHAN_METABOLISM	9.52019184E-2	9.976E-2
BIOCARTA_EPO_PATHWAY	9.56165855E-2	9.071E-2
REACTOME_GAB1_SIGNALOSOME	9.62059628E-2	8.996E-2
REACTOME_SIGNALING_BY_SCF_KIT	9.66551602E-2	8.755E-2
BIOCARTA_CERAMIDE_PATHWAY	9.69623483E-2	9.127E-2
BIOCARTA_ECM_PATHWAY	9.83636696E-2	9.01E-2
KEGG_APOPTOSIS	9.91793704E-2	9.047E-2
REACTOME_AMINE_COMPOUND_SLC_TRANSPORTERS	9.96404442E-2	9.059E-2
BIOCARTA_CASPASE_PATHWAY	1.00009135E-1	9.283E-2
REACTOME_REGULATION_OF_KIT_SIGNALING	1.00440174E-1	9.705E-2
REACTOME_NUCLEOTIDE_LIKE_PURINERGIC_RECEPTORS	1.02381471E-1	9.781E-2
BIOCARTA_IL2RB_PATHWAY	1.04343061E-1	9.848E-2
BIOCARTA_GH_PATHWAY	1.05597345E-1	9.938E-2
KEGG_HOMOLOGOUS_RECOMBINATION	1.05739862E-1	1.0104E-1
REACTOME_MTORC1_MEDIATED_SIGNALLING	1.05762081E-1	1.1717E-1
REACTOME_GOLGI_ASSOCIATED_VESICLE_BIOGENESIS	1.06180039E-1	1.1735E-1
REACTOME_SIGNALING_BY_CONSTITUTIVELY_ACTIVE_EGFR	1.07159068E-1	1.0696E-1
KEGG_AXON_GUIDANCE	1.07402169E-1	9.798E-2
REACTOME_SEMA3A_PAK_DEPENDENT_AXON_REPULSION	1.07522916E-1	1.3696E-1
KEGG_PARKINSONS_DISEASE	1.07596483E-1	1.0498E-1
BIOCARTA_IGF1R_PATHWAY	1.09571324E-1	1.0683E-1
KEGG_RENIN_ANGIOTENSIN_SYSTEM	1.09577608E-1	1.113E-1
REACTOME_ELONGATION_ARREST_AND_RECOVERY	1.12073955E-1	1.0722E-1
REACTOME_TRAFFICKING_OF_GLUR2_CONTAINING_AMPA_RECEPTORS	1.12951585E-1	1.052E-1
REACTOME_FACILITATIVE_NA_INDEPENDENT_GLUCOSE_TRANSPORTERS	1.13435291E-1	1.3203E-1
KEGG_ALZHEIMERS_DISEASE	1.13736857E-1	1.1559E-1
BIOCARTA_TNFR2_PATHWAY	1.13947404E-1	1.0856E-1
REACTOME_PD1_SIGNALING	1.13947502E-1	1.0937E-1
REACTOME_INCRETIN_SYNTHESIS_SECRETION_AND_INACTIVATION	1.14969048E-1	1.0798E-1
REACTOME_RAF_MAP_KINASE_CASCADE	1.15092864E-1	1.1152E-1
BIOCARTA_IL1R_PATHWAY	1.15219476E-1	1.2527E-1
REACTOME_ELEVATION_OF_CYTOSOLIC_CA2_LEVELS	1.16072197E-1	1.0821E-1
BIOCARTA_SRCRPTP_PATHWAY	1.16215342E-1	1.1787E-1
BIOCARTA_CD40_PATHWAY	1.16222207E-1	1.0577E-1
REACTOME_GLUTAMATE_NEUROTRANSMITTER_RELEASE_CYCLE	1.18728069E-1	1.1085E-1
REACTOME_ADVANCED_GLYCOSYLATION_ENDPRODUCT_RECEPTOR_SIGNALING	1.18844355E-1	1.2025E-1
BIOCARTA_AT1R_PATHWAY	1.19893018E-1	1.0687E-1
BIOCARTA_SHH_PATHWAY	1.20074737E-1	1.1251E-1
