chromosome	start	end	strand	gene_id	gene_symbol	numSnps	pvalue	Status
chr1	803450	812182	-	FAM41C	FAM41C	1	0.730130688	Simul
chr1	852952	854817	-	LOC100130417	LOC100130417	1	0.730130688	Simul
chr1	860529	879961	+	SAMD11	SAMD11	1	0.730130688	Simul
chr1	879582	894679	-	NOC2L	NOC2L	1	0.730130688	Simul
chr1	895966	901099	+	KLHL17	KLHL17	1	0.730130688	Simul
chr1	2160133	2241652	+	SKI	SKI	1	0.69594482	Simul
chr1	2252695	2322993	-	MORN1	MORN1	1	0.69594482	Simul
chr1	2281852	2284100	-	LOC100129534	LOC100129534	1	0.69594482	Simul
chr1	2938045	2939467	+	ACTRT2	ACTRT2	3	0.670694142	Simul
chr1	2976180	2984289	-	FLJ42875	FLJ42875	3	0.670694142	Simul
chr1	2985741	3355185	+	PRDM16	PRDM16	11	0.806902895	Simul
chr1	3371146	3397677	+	ARHGEF16	ARHGEF16	1	0.157870258	Simul
chr1	3404505	3528059	-	MEGF6	MEGF6	1	0.8977513	Simul
chr1	3541555	3546694	+	TPRG1L	TPRG1L	1	0.8977513	Simul
chr1	3547330	3566671	-	WRAP73	WRAP73	1	0.8977513	Simul
chr1	3569128	3652765	+	TP73	TP73	3	0.977690455	Simul
chr1	3652547	3663937	-	TP73-AS1	TP73-AS1	2	0.91184313	Simul
chr1	3668964	3688209	+	CCDC27	CCDC27	4	0.979922712	Simul
chr1	3689333	3692546	+	SMIM1	SMIM1	4	0.979922712	Simul
chr1	3696783	3713068	-	LRRC47	LRRC47	4	0.979922712	Simul
chr1	3728644	3773797	-	CEP104	CEP104	7	0.437532896	Simul
chr1	3773844	3801993	+	DFFB	DFFB	3	0.101207782	Simul
chr1	3805696	3816857	-	C1orf174	C1orf174	3	0.101207782	Simul
chr1	3816967	3833879	+	LOC100133612	LOC100133612	1	0.0146029535	Simul
chr1	4472110	4484744	+	LOC284661	LOC284661	3	0.0421585025	Simul
chr1	4715104	4843851	+	AJAP1	AJAP1	3	0.739952256	Simul
chr1	5624130	5624203	+	MIR4417	MIR4417	3	0.3736545	Simul
chr1	5922869	6052533	-	NPHP4	NPHP4	2	0.973641237	Simul
chr1	6052357	6161253	+	KCNAB2	KCNAB2	3	0.182864278	Simul
chr1	6281252	6296044	-	ICMT	ICMT	1	0.956091201	Simul
chr1	6304251	6305638	+	HES3	HES3	1	0.956091201	Simul
chr1	6307405	6321035	-	GPR153	GPR153	1	0.956091201	Simul
chr1	6324331	6453826	-	ACOT7	ACOT7	1	0.956091201	Simul
chr1	6673755	6684093	+	PHF13	PHF13	1	0.824487476	Simul
chr1	6684924	6695646	+	THAP3	THAP3	1	0.824487476	Simul
chr1	6694227	6761966	-	DNAJC11	DNAJC11	3	0.452219325	Simul
chr1	6845383	7829766	+	CAMTA1	CAMTA1	17	0.612467858	Simul
chr1	7831328	7841492	+	VAMP3	VAMP3	1	0.785769849	Simul
chr1	7844379	7905237	+	PER3	PER3	5	0.0883405102	Simul
chr1	7903142	7973294	-	UTS2	UTS2	5	0.0359617988	Simul
chr1	7975930	8003225	-	TNFRSF9	TNFRSF9	4	0.0397017094	Simul
chr1	8021713	8045342	+	PARK7	PARK7	1	0.979665195	Simul
chr1	8071778	8086393	-	ERRFI1	ERRFI1	1	0.979665195	Simul
chr1	8384389	8404227	+	SLC45A1	SLC45A1	2	0.265909808	Simul
chr1	8412463	8877699	-	RERE	RERE	10	0.380424714	Simul
chr1	9294862	9331394	+	H6PD	H6PD	2	0.611202098	Simul
chr1	9352940	9429590	+	SPSB1	SPSB1	2	0.604350388	Simul
chr1	9789078	9884550	-	CLSTN1	CLSTN1	1	0.298206749	Simul
chr1	9908333	9970316	-	CTNNBIP1	CTNNBIP1	3	0.299568399	Simul
chr1	9989775	10003427	-	LZIC	LZIC	2	0.275193808	Simul
chr1	10003485	10045556	+	NMNAT1	NMNAT1	2	0.275193808	Simul
chr1	10093040	10241296	+	UBE4B	UBE4B	1	0.133468119	Simul
chr1	10270763	10441661	+	KIF1B	KIF1B	8	0.477082017	Simul
chr1	10459084	10480201	+	PGD	PGD	2	0.317592481	Simul
chr1	10490158	10512060	+	APITD1-CORT	APITD1-CORT	3	0.478226568	Simul
chr1	10509775	10512060	+	CORT	CORT	3	0.478226568	Simul
chr1	10520602	10532613	-	DFFA	DFFA	1	0.808783278	Simul
chr1	10535002	10690815	+	PEX14	PEX14	2	0.909148618	Simul
chr1	10696665	10856733	-	CASZ1	CASZ1	3	0.587706346	Simul
chr1	11006529	11042094	-	C1orf127	C1orf127	2	0.40240031	Simul
chr1	11126675	11159938	-	EXOSC10	EXOSC10	1	0.747070548	Simul
chr1	11166587	11322608	-	MTOR	MTOR	2	0.665463563	Simul
chr1	11203954	11209595	+	MTOR-AS1	MTOR-AS1	1	0.747070548	Simul
chr1	11249345	11256038	+	ANGPTL7	ANGPTL7	1	0.528224587	Simul
chr1	11333254	11348491	+	UBIAD1	UBIAD1	1	0.528224587	Simul
chr1	11539294	11597640	+	PTCHD2	PTCHD2	1	0.558276919	Simul
chr1	11796141	11810828	+	AGTRAP	AGTRAP	1	0.329887298	Simul
chr1	11845786	11866160	-	MTHFR	MTHFR	1	0.329887298	Simul
chr1	11866152	11903201	+	CLCN6	CLCN6	1	0.329887298	Simul
chr1	11900375	11907674	+	NPPA-AS1	NPPA-AS1	1	0.329887298	Simul
chr1	11905766	11907840	-	NPPA	NPPA	1	0.329887298	Simul
chr1	11994723	12035599	+	PLOD1	PLOD1	2	0.292053729	Simul
chr1	12040237	12073572	+	MFN2	MFN2	2	0.292053729	Simul
chr1	12079298	12092106	+	MIIP	MIIP	2	0.292053729	Simul
chr1	12123433	12204264	+	TNFRSF8	TNFRSF8	2	0.715207661	Simul
chr1	12227059	12269277	+	TNFRSF1B	TNFRSF1B	2	0.715207661	Simul
chr1	12251761	12251839	+	MIR4632	MIR4632	1	0.427964684	Simul
chr1	12290112	12572098	+	VPS13D	VPS13D	1	0.278644343	Simul
chr1	12704565	12727097	+	AADACL4	AADACL4	2	0.223285887	Simul
chr1	12776117	12788726	+	AADACL3	AADACL3	3	0.343931589	Simul
chr1	12806162	12821102	+	C1orf158	C1orf158	2	0.828793665	Simul
chr1	12834983	12838048	+	PRAMEF12	PRAMEF12	2	0.828793665	Simul
chr1	12851545	12856777	+	PRAMEF1	PRAMEF1	2	0.828793665	Simul
chr1	12884467	12891264	-	PRAMEF11	PRAMEF11	2	0.828793665	Simul
chr1	13910251	13944452	+	PDPN	PDPN	3	0.290426007	Simul
chr1	14026734	14151574	+	PRDM2	PRDM2	9	0.285950867	Simul
chr1	14925212	15444544	+	KAZN	KAZN	14	0.457519444	Simul
chr1	15438310	15478960	-	TMEM51-AS1	TMEM51-AS1	4	0.75741674	Simul
chr1	15479027	15546974	+	TMEM51	TMEM51	3	0.760854799	Simul
chr1	15573767	15726778	+	FHAD1	FHAD1	3	0.0516669883	Simul
chr1	15736390	15756839	+	EFHD2	EFHD2	1	0.0389738444	Simul
chr1	15764937	15773153	+	CTRC	CTRC	1	0.0389738444	Simul
chr1	15783222	15798586	+	CELA2A	CELA2A	1	0.270556505	Simul
chr1	15802595	15817895	+	CELA2B	CELA2B	1	0.270556505	Simul
chr1	15817323	15851285	-	CASP9	CASP9	1	0.270556505	Simul
chr1	15853351	15918874	+	DNAJC16	DNAJC16	2	0.179189824	Simul
chr1	15898193	15911605	-	AGMAT	AGMAT	1	0.137493051	Simul
chr1	15943952	15987552	+	DDI2	DDI2	3	0.251239654	Simul
chr1	15986363	15988217	+	RSC1A1	RSC1A1	2	0.398553718	Simul
chr1	16010826	16061264	+	PLEKHM2	PLEKHM2	2	0.398553718	Simul
