chromosome	start	end	strand	gene_id	gene_symbol	numSnps	pvalue	Status
chr1	803450	812182	-	284593	FAM41C	1	1.25367828E-1	NOT_RUN
chr1	852952	854817	-	100130417	LOC100130417	1	1.25367828E-1	NOT_RUN
chr1	860529	879961	+	148398	SAMD11	1	1.25367828E-1	NOT_RUN
chr1	879582	894679	-	26155	NOC2L	1	1.25367828E-1	NOT_RUN
chr1	895966	901099	+	339451	KLHL17	1	1.25367828E-1	NOT_RUN
chr1	2160133	2241652	+	6497	SKI	1	4.79286992E-1	NOT_RUN
chr1	2252695	2322993	-	79906	MORN1	1	4.79286992E-1	NOT_RUN
chr1	2281852	2284100	-	100129534	LOC100129534	1	4.79286992E-1	NOT_RUN
chr1	2938045	2939467	+	140625	ACTRT2	3	7.02180534E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	2976180	2984289	-	440556	FLJ42875	3	7.02180534E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	2985741	3355185	+	63976	PRDM16	11	8.45268016E-1	DAVIES_SUCCESS
chr1	3371146	3397677	+	27237	ARHGEF16	1	1.7063796E-1	NOT_RUN
chr1	3404505	3528059	-	1953	MEGF6	1	3.3350768E-1	NOT_RUN
chr1	3541555	3546694	+	127262	TPRG1L	1	3.3350768E-1	NOT_RUN
chr1	3547330	3566671	-	49856	WRAP73	1	3.3350768E-1	NOT_RUN
chr1	3569128	3652765	+	7161	TP73	3	3.9749913E-2	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	3652547	3663937	-	57212	TP73-AS1	2	2.61413209E-2	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	3668964	3688209	+	148870	CCDC27	4	1.0467482E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	3689333	3692546	+	388588	SMIM1	4	1.0467482E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	3696783	3713068	-	57470	LRRC47	4	1.0467482E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	3728644	3773797	-	9731	CEP104	7	2.75153717E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	3773844	3801993	+	1677	DFFB	3	9.523592E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	3805696	3816857	-	339448	C1orf174	3	9.523592E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	3816967	3833879	+	100133612	LOC100133612	1	7.73213908E-1	NOT_RUN
chr1	4472110	4484744	+	284661	LOC284661	3	2.13428585E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	4715104	4843851	+	55966	AJAP1	3	2.53250425E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	5624130	5624203	+	100616489	MIR4417	3	1.06875526E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	5922869	6052533	-	261734	NPHP4	2	2.3456988E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	6052357	6161253	+	8514	KCNAB2	3	3.54780058E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	6281252	6296044	-	23463	ICMT	1	4.27363991E-1	NOT_RUN
chr1	6304251	6305638	+	390992	HES3	1	4.27363991E-1	NOT_RUN
chr1	6307405	6321035	-	387509	GPR153	1	4.27363991E-1	NOT_RUN
chr1	6324331	6453826	-	11332	ACOT7	1	4.27363991E-1	NOT_RUN
chr1	6673755	6684093	+	148479	PHF13	1	5.25064814E-1	NOT_RUN
chr1	6684924	6695646	+	90326	THAP3	1	5.25064814E-1	NOT_RUN
chr1	6694227	6761966	-	55735	DNAJC11	3	7.75478569E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	6845383	7829766	+	23261	CAMTA1	17	6.88584667E-1	DAVIES_SUCCESS
chr1	7831328	7841492	+	9341	VAMP3	1	4.36631416E-1	NOT_RUN
chr1	7844379	7905237	+	8863	PER3	5	4.02473265E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	7903142	7973294	-	10911	UTS2	5	3.64964702E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	7975930	8003225	-	3604	TNFRSF9	4	3.31435762E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	8021713	8045342	+	11315	PARK7	1	4.91305581E-1	NOT_RUN
chr1	8071778	8086393	-	54206	ERRFI1	1	4.91305581E-1	NOT_RUN
chr1	8384389	8404227	+	50651	SLC45A1	2	6.13345953E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	8412463	8877699	-	473	RERE	10	5.33392115E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	9294862	9331394	+	9563	H6PD	2	6.28754614E-2	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	9352940	9429590	+	80176	SPSB1	2	7.55386513E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	9789078	9884550	-	22883	CLSTN1	1	4.31420929E-1	NOT_RUN
chr1	9908333	9970316	-	56998	CTNNBIP1	3	5.13378573E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	9989775	10003427	-	84328	LZIC	2	4.34057339E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	10003485	10045556	+	64802	NMNAT1	2	4.34057339E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	10093040	10241296	+	10277	UBE4B	1	6.29403476E-1	NOT_RUN
chr1	10270763	10441661	+	23095	KIF1B	8	7.72400919E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	10459084	10480201	+	5226	PGD	2	6.86149643E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	10490158	10512060	+	100526739	APITD1-CORT	3	6.9437771E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
