chromosome	start	end	strand	gene_id	gene_symbol	numSnps	pvalue	Status
chr22	17071647	17073700	-	CCT8L2	CCT8L2	35	0.115549121	Simul
chr22	17082800	17179521	+	TPTEP1	TPTEP1	62	0.102652194	Simul
chr22	17134598	17156430	-	ANKRD62P1-PARP4P3	ANKRD62P1-PARP4P3	33	0.0798927432	Simul
chr22	17264305	17302584	-	XKR3	XKR3	115	0.463291946	Simul
chr22	17308363	17310225	+	HSFY1P1	HSFY1P1	97	0.589336787	Simul
chr22	17442826	17489112	-	GAB4	GAB4	185	0.0136021349	Simul
chr22	17517459	17539682	+	CECR7	CECR7	119	0.00162833626	Simul
chr22	17565848	17596584	+	IL17RA	IL17RA	128	0.000379394682	Simul
chr22	17597188	17602257	-	CECR6	CECR6	82	0.000250385927	Simul
chr22	17618409	17646177	-	CECR5	CECR5	106	0.0026944987	Simul
chr22	17640278	17646335	+	CECR5-AS1	CECR5-AS1	91	0.00287906621	Simul
chr22	17660191	17702738	-	CECR1	CECR1	111	0.0202908581	Simul
chr22	17737749	17747623	-	CECR3	CECR3	72	0.598762729	Simul
chr22	17840838	18033845	+	CECR2	CECR2	253	0.000362126782	Simul
chr22	18043182	18073647	+	SLC25A18	SLC25A18	115	0.0313018732	Simul
chr22	18074902	18111588	-	ATP6V1E1	ATP6V1E1	99	0.0552418917	Simul
chr22	18111681	18213621	+	BCL2L13	BCL2L13	166	0.0645352252	Simul
chr22	18216905	18257431	-	BID	BID	114	0.0073078047	Simul
chr22	18246945	18247025	-	MIR3198-1	MIR3198-1	86	0.00221120938	Simul
chr22	18270415	18507325	-	MICAL3	MICAL3	281	0.0011805464	Simul
chr22	18463633	18463727	-	MIR648	MIR648	80	0.495376817	Simul
chr22	18512150	18520734	+	FLJ41941	FLJ41941	85	0.495461854	Simul
chr22	18560685	18573797	+	PEX26	PEX26	93	0.243859526	Simul
chr22	18593452	18614498	+	TUBA8	TUBA8	84	0.291582868	Simul
chr22	18632757	18660162	+	USP18	USP18	41	0.176234158	Simul
chr22	18893540	18899601	+	DGCR6	DGCR6	55	0.927510231	Simul
chr22	18900286	18924066	-	PRODH	PRODH	78	0.19341843	Simul
chr22	18958010	19018742	+	DGCR5	DGCR5	140	0.122514856	Simul
chr22	19005346	19007761	+	DGCR9	DGCR9	100	0.0824031055	Simul
chr22	19010136	19011063	+	DGCR10	DGCR10	101	0.0928338232	Simul
chr22	19023794	19109967	-	DGCR2	DGCR2	172	0.266531915	Simul
chr22	19033674	19035888	-	DGCR11	DGCR11	88	0.432475152	Simul
chr22	19117791	19132190	-	DGCR14	DGCR14	107	0.487363693	Simul
chr22	19118320	19120136	+	TSSK2	TSSK2	97	0.444837054	Simul
chr22	19136503	19137796	-	GSC2	GSC2	104	0.555137507	Simul
chr22	19163087	19166338	-	SLC25A1	SLC25A1	108	0.744109419	Simul
chr22	19166986	19279239	-	CLTCL1	CLTCL1	176	0.633242357	Simul
chr22	19318223	19435755	-	HIRA	HIRA	112	0.263086825	Simul
chr22	19420035	19423596	+	MRPL40	MRPL40	62	0.224371874	Simul
chr22	19428409	19435755	-	C22orf39	C22orf39	65	0.223759295	Simul
chr22	19437463	19466738	-	UFD1L	UFD1L	90	0.257404603	Simul
chr22	19467413	19508135	+	CDC45	CDC45	109	0.310711228	Simul
chr22	19510546	19512860	-	CLDN5	CLDN5	76	0.527396138	Simul
