chromosome	start	end	strand	gene_id	gene_symbol	numSnps	pvalue	Status
chr1	11166587	12269277	+	meta_2475_7133	meta_MTOR_TNFRSF1B	4	5.11043835E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	12123433	12269277	+	meta_943_7133	meta_TNFRSF8_TNFRSF1B	2	3.72206838E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	19166092	20006055	+	meta_80834_3362	meta_TAS1R2_HTR6	5	4.52524781E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	20246799	20476879	+	meta_30814_5322_26279_64600	meta_PLA2G2E_PLA2G5_PLA2G2D_PLA2G2F	5	3.31660235E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	20246799	20501687	+	meta_30814_5322_26279_64600_391013	meta_PLA2G2E_PLA2G5_PLA2G2D_PLA2G2F_PLA2G2C	6	1.21460326E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	21132784	22988029	+	meta_8672_5909_998_712_714_713	meta_EIF4G3_RAP1GAP_CDC42_C1QA_C1QC_C1QB	14	1.79820241E-1	DAVIES_SUCCESS
chr1	21922707	22419436	+	meta_5909_998	meta_RAP1GAP_CDC42	4	2.89381944E-2	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	22379119	22470385	+	meta_998_54361	meta_CDC42_WNT4	2	7.35976001E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	22379119	23241823	+	meta_998_2046_2048	meta_CDC42_EPHA8_EPHB2	6	6.08821253E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	22379119	23410184	+	meta_998_23028	meta_CDC42_KDM1A	4	6.73459527E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	22963117	22988029	+	meta_712_714_713	meta_C1QA_C1QC_C1QB	2	1.55683006E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	24446260	24513765	+	meta_58985_163702	meta_IL22RA1_IFNLR1	4	5.88054535E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	35220647	35261348	+	meta_2709_127534_2707_2701	meta_GJB5_GJB4_GJB3_GJA4	8	3.52937194E-1	DAVIES_SUCCESS
chr1	40506254	40783060	+	meta_10487_1298	meta_CAP1_COL9A2	10	8.19748005E-1	DAVIES_SUCCESS
chr1	40915773	40962015	+	meta_65243_339559	meta_ZFP69B_ZFP69	3	6.17993992E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	42922172	43424847	+	meta_79717_6513	meta_PPCS_SLC2A1	7	2.01379678E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	43391045	44396837	+	meta_6513_6487	meta_SLC2A1_ST3GAL3	8	7.7914708E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	43829067	43855483	+	meta_64834_112950	meta_ELOVL1_MED8	1	4.29187638E-1	NOT_RUN
chr1	43849578	44402912	+	meta_112950_9048	meta_MED8_ARTN	2	5.3111301E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	44171494	45452394	+	meta_6487_8891	meta_ST3GAL3_EIF2B3	6	9.78195472E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	44870959	45477027	+	meta_55182_79654	meta_RNF220_HECTD3	11	9.20956756E-1	DAVIES_SUCCESS
chr1	46505811	46769038	+	meta_8503_10489	meta_PIK3R3_LRRC41	9	4.19013626E-1	DAVIES_SUCCESS
chr1	46505811	47082563	+	meta_8503_8569	meta_PIK3R3_MKNK1	11	8.10615618E-2	DAVIES_SUCCESS
chr1	52485803	53074723	+	meta_51060_2882	meta_TXNDC12_GPX7	2	9.93122794E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	53392900	53679869	+	meta_6342_1376	meta_SCP2_CPT2	9	5.94080142E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	56960418	57181008	+	meta_8613_5563	meta_PPAP2B_PRKAA2	13	7.72976374E-1	DAVIES_SUCCESS
chr1	57320442	57431688	+	meta_731_732	meta_C8A_C8B	6	4.24540558E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	64669489	65432619	+	meta_148581_3716	meta_UBE2U_JAK1	20	7.92188006E-1	DAVIES_SUCCESS
chr1	65298905	66103176	+	meta_3716_3953	meta_JAK1_LEPR	24	2.50529588E-1	DAVIES_SUCCESS
chr1	65613231	66840262	+	meta_205_5142	meta_AK4_PDE4B	26	7.67817734E-1	DAVIES_SUCCESS
chr1	66258192	68299155	+	meta_5142_10022_55970	meta_PDE4B_INSL5_GNG12	42	8.77350996E-1	DAVIES_SUCCESS
chr1	67263423	68299155	+	meta_10022_55970	meta_INSL5_GNG12	19	8.82459682E-1	DAVIES_SUCCESS
chr1	67465014	68299155	+	meta_23169_55970	meta_SLC35D1_GNG12	17	9.81484559E-1	DAVIES_SUCCESS
chr1	67604589	67862583	+	meta_149233_3595	meta_IL23R_IL12RB2	11	5.61745399E-1	DAVIES_SUCCESS
chr1	68150859	68299155	+	meta_1647_55970	meta_GADD45A_GNG12	10	6.4212686E-1	DAVIES_SUCCESS
chr1	75667815	76229355	+	meta_204962_34	meta_SLC44A5_ACADM	48	1.73539721E-1	DAVIES_SUCCESS
chr1	76540388	77529737	+	meta_256435_81849	meta_ST6GALNAC3_ST6GALNAC5	62	3.77982234E-2	DAVIES_SUCCESS
chr1	76540388	77685132	+	meta_256435_10026	meta_ST6GALNAC3_PIGK	64	5.18875792E-2	DAVIES_SUCCESS
chr1	84543744	84972262	+	meta_5567_2787	meta_PRKACB_GNG5	19	8.92309216E-1	DAVIES_SUCCESS
chr1	84543744	85358896	+	meta_5567_23566	meta_PRKACB_LPAR3	23	9.03842546E-1	DAVIES_SUCCESS
chr1	84543744	85358896	+	meta_5567_2787_23566	meta_PRKACB_GNG5_LPAR3	29	9.38778324E-1	DAVIES_SUCCESS
chr1	84964005	85358896	+	meta_2787_23566	meta_GNG5_LPAR3	16	8.60059566E-1	DAVIES_SUCCESS
chr1	85731459	85865646	+	meta_8915_646626	meta_BCL10_LOC646626	16	2.18512073E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	86889768	87046432	+	meta_9635_1179_22802	meta_CLCA2_CLCA1_CLCA4	21	1.62881465E-1	DAVIES_SUCCESS
chr1	89517986	89853719	+	meta_2633_2634_388646_115362_163351	meta_GBP1_GBP2_GBP7_GBP5_GBP6	9	7.86953692E-1	DAVIES_SUCCESS
chr1	94458393	94984219	+	meta_24_5825	meta_ABCA4_ABCD3	19	3.50587921E-2	DAVIES_SUCCESS
chr1	94458393	95360803	+	meta_24_5825_126969	meta_ABCA4_ABCD3_SLC44A3	27	5.27231705E-2	DAVIES_SUCCESS
chr1	100435344	101447311	+	meta_23443_148867	meta_SLC35A3_SLC30A7	7	3.17692067E-1	DAVIES_SUCCESS
chr1	108113781	110138454	+	meta_10451_6814_2773	meta_VAV3_STXBP3_GNAI3	48	3.72750888E-2	DAVIES_SUCCESS
chr1	109606997	109969108	+	meta_6884_5686	meta_TAF13_PSMA5	8	3.27287198E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	110091185	110155705	+	meta_2773_2780	meta_GNAI3_GNAT2	3	7.90711174E-2	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	110091185	110999976	+	meta_2773_2780_84432	meta_GNAI3_GNAT2_PROK1	5	3.62477848E-2	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	110091185	111217655	+	meta_2773_3749_3744_3737_3738	meta_GNAI3_KCNC4_KCNA10_KCNA2_KCNA3	18	2.35342581E-1	DAVIES_SUCCESS
chr1	110198697	110283660	+	meta_2946_2944_2947	meta_GSTM2_GSTM1_GSTM3	2	6.73687635E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	110753335	111217655	+	meta_3749_3744_3737_3738	meta_KCNC4_KCNA10_KCNA2_KCNA3	16	4.85635192E-1	DAVIES_SUCCESS
chr1	111982511	112310199	+	meta_79084_11218	meta_WDR77_DDX20	17	6.25141905E-1	DAVIES_SUCCESS
chr1	112025969	113063910	+	meta_140_7482	meta_ADORA3_WNT2B	17	9.02518047E-2	DAVIES_SUCCESS
chr1	112085054	113214241	+	meta_5906_829	meta_RAP1A_CAPZA1	20	1.16062679E-1	DAVIES_SUCCESS
chr1	115247084	115323308	+	meta_4893_80143	meta_NRAS_SIKE1	7	6.78210213E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	115247084	115576930	+	meta_4893_7252	meta_NRAS_TSHB	12	6.21190957E-1	DAVIES_SUCCESS
chr1	115247084	115880857	+	meta_4893_4803	meta_NRAS_NGF	10	9.32537731E-1	DAVIES_SUCCESS
chr1	116519118	116947396	+	meta_55356_476	meta_SLC22A15_ATP1A1	6	6.93646403E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr1	119957269	120057681	+	meta_3284_3283	meta_HSD3B2_HSD3B1	9	6.85050779E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
